Date,Actual,Predictions
2022-12-02,100.44,101.01338
2022-12-05,99.48,100.37293
2022-12-06,96.98,99.71091
2022-12-07,94.94,97.4726
2022-12-08,93.71,95.625015
2022-12-09,92.83,94.46632
2022-12-12,93.31,93.497536
2022-12-13,95.63,93.87511
2022-12-14,95.07,96.04655
2022-12-15,90.86,95.13223
2022-12-16,90.26,90.86427
2022-12-19,88.44,90.78973
2022-12-20,89.02,88.96352
2022-12-21,89.58,89.54387
2022-12-22,87.76,89.86357
2022-12-23,89.23,87.7514
2022-12-27,87.39,89.4655
2022-12-28,86.02,87.38376
2022-12-29,88.45,86.09803
2022-12-30,88.23,88.82054
2023-01-03,89.12,88.2097
2023-01-04,88.08,89.06058
2023-01-05,86.2,87.93543
2023-01-06,87.34,86.16164
2023-01-09,88.02,87.6375
2023-01-10,88.42,88.162384
2023-01-11,91.52,88.3786
2023-01-12,91.13,91.55714
2023-01-13,92.12,90.85156
2023-01-17,91.29,92.00754
2023-01-18,91.12,91.23192
2023-01-19,93.05,91.25817
2023-01-20,98.02,93.34103
2023-01-23,99.79,98.21145
2023-01-24,97.7,99.4711
2023-01-25,95.22,97.330505
2023-01-26,97.52,95.33969
2023-01-27,99.37,98.20588
2023-01-30,96.94,99.834564
2023-01-31,98.84,97.05509
2023-02-01,100.43,99.21636
2023-02-02,107.74,100.78179
2023-02-03,104.78,107.8857
2023-02-06,102.9,104.53686
2023-02-07,107.64,102.92644
2023-02-08,99.37,108.158554
2023-02-09,95.01,99.880295
2023-02-10,94.57,95.80351
2023-02-13,94.61,95.82385
2023-02-14,94.68,95.5965
2023-02-15,96.94,95.23723
2023-02-16,95.51,97.32845
2023-02-17,94.35,95.603386
2023-02-21,91.79,94.56569
2023-02-22,91.65,92.15563
2023-02-23,90.89,92.264206
2023-02-24,89.13,91.3713
2023-02-27,89.87,89.433495
2023-02-28,90.06,90.28706
2023-03-01,90.36,90.31023
2023-03-02,92.0,90.48292
2023-03-03,93.65,92.123985
2023-03-06,95.13,93.66545
2023-03-07,93.86,95.05196
2023-03-08,94.25,93.719536
2023-03-09,92.32,94.41634
2023-03-10,90.63,92.54014
2023-03-13,91.11,90.99199
2023-03-14,93.97,91.64137
2023-03-15,96.11,94.4305
2023-03-16,100.32,96.15637
2023-03-17,101.62,100.17525
2023-03-20,101.22,101.25678
2023-03-21,104.92,101.00434
2023-03-22,103.37,105.05197
2023-03-23,105.6,103.5094
